"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Cairo Santos","K","CHI","GB","7.9","7.9","8.5","7.9","7.9","7.9","14.1","14.1","Saturday"
"Chris Boswell","K","PIT","HOU","7.9","7.9","8.6","7.9","7.9","7.9","14.3","14.3","Monday"
"Tyler Higbee","TE","LA","@CAR","7.8","6.3","9.2","4.8","6.3","7.7","15.8","13.5","Saturday"
"Blake Corum","RB","LA","@CAR","7.6","7.3","7.5","6.9","7.1","7.4","16.4","15.9","Saturday"
"Kayshon Boutte","WR","NE","LAC","7.6","6.5","7.5","5.2","6.3","7.5","16.6","14.6","Sunday"
"Pat Freiermuth","TE","PIT","HOU","7.6","6.0","9.2","4.4","6.0","7.6","15.0","12.4","Monday"
"Eddy Pineiro","K","SF","@PHI","7.5","7.5","8.1","7.5","7.5","7.5","13.6","13.6","Other"
"Chuba Hubbard","RB","CAR","LA","7.4","6.4","7.3","5.4","6.4","7.3","14.9","13.4","Saturday"
"HOU DST","DST","HOU","@PIT","7.4","7.4","8.3","7.4","7.4","7.4","14.6","14.6","Monday"
"Rome Odunze","WR","CHI","GB","7.2","6.0","7.1","4.8","6.0","7.1","15.7","13.8","Saturday"
"NE DST","DST","NE","LAC","7.2","7.2","8.0","7.2","7.2","7.2","14.5","14.5","Sunday"
"DJ Moore","WR","CHI","GB","7.1","5.9","7.0","4.6","5.8","7.0","15.1","13.1","Saturday"
"PHI DST","DST","PHI","SF","7.1","7.1","8.0","7.1","7.1","7.1","14.3","14.3","Other"
"PIT DST","DST","PIT","HOU","6.8","6.8","7.6","6.8","6.8","6.8","13.8","13.8","Monday"
"Jayden Higgins","WR","HOU","@PIT","6.7","5.5","6.6","4.2","5.4","6.6","14.4","12.4","Monday"
"Colby Parkinson","TE","LA","@CAR","6.7","5.4","8.0","4.0","5.3","6.7","14.2","12.0","Saturday"
"Ryan Fitzgerald","K","CAR","LA","6.6","6.6","7.1","6.6","6.6","6.6","12.5","12.5","Saturday"
"Brandin Cooks","WR","BUF","@JAX","6.3","5.2","6.2","4.1","5.2","6.2","14.2","12.4","Main"
"Dawson Knox","TE","BUF","@JAX","6.3","5.1","7.6","3.8","5.0","6.3","13.2","11.0","Main"
"Christian Kirk","WR","HOU","@PIT","6.3","5.0","6.3","3.7","5.0","6.3","13.4","11.3","Monday"
"Kimani Vidal","RB","LAC","@NE","6.2","5.6","6.2","4.9","5.5","6.1","13.3","12.4","Sunday"
"Luke Musgrave","TE","GB","@CHI","6.0","4.6","7.4","3.2","4.6","6.0","12.3","10.0","Saturday"
"LAC DST","DST","LAC","@NE","6.0","6.0","6.8","6.0","6.0","6.0","13.0","13.0","Sunday"
"Tommy Tremble","TE","CAR","LA","5.9","4.5","7.3","3.2","4.5","5.9","12.0","9.7","Saturday"
"Demarcus Robinson","WR","SF","@PHI","5.8","4.7","5.7","3.7","4.7","5.7","13.1","11.2","Other"
"GB DST","DST","GB","@CHI","5.8","5.8","6.6","5.8","5.8","5.8","12.6","12.6","Saturday"
"BUF DST","DST","BUF","@JAX","5.1","5.1","5.9","5.1","5.1","5.1","12.1","12.1","Main"
"JAX DST","DST","JAX","BUF","5.1","5.1","5.9","5.1","5.1","5.1","12.0","12.0","Main"
"SF DST","DST","SF","@PHI","5.1","5.1","5.9","5.1","5.1","5.1","11.7","11.7","Other"
"CHI DST","DST","CHI","GB","5.0","5.0","5.8","5.0","5.0","5.0","11.7","11.7","Saturday"
"Matthew Golden","WR","GB","@CHI","4.9","4.1","4.9","3.2","4.0","4.9","11.9","10.4","Saturday"
"Demario Douglas","WR","NE","LAC","4.8","4.0","4.8","3.1","3.9","4.8","11.5","9.9","Sunday"
"Ray Davis","RB","BUF","@JAX","4.7","3.9","4.6","3.1","3.9","4.6","11.1","9.8","Main"
"Xavier Hutchinson","WR","HOU","@PIT","4.7","3.9","4.7","3.0","3.8","4.7","11.1","9.5","Monday"
"Bhayshul Tuten","RB","JAX","BUF","4.6","4.3","4.6","4.0","4.3","4.6","11.4","10.9","Main"
"Tre' Harris","WR","LAC","@NE","4.6","3.6","4.6","2.7","3.6","4.5","10.5","8.9","Sunday"
