"gameweek","player","pos","team_normalized","salary","ppg","pts_floor","pts_ceiling","sortino","form","matchup_quality","est_own_pct","est_captain_pct","cash_score","cash_rating","gpp_score","gpp_rating","captain_score","captain_rating","value","picked_by","n_games","actual_pts","actual_own_pct","actual_captain_pct","opponent","home_away"
19,"Jeremy Doku","MID","Manchester City",13.6,3.13181818181818,0,9.3,1.37903625158335,3.13181818181818,64.9,8.9,0,57.9,"Solid",73.8,"Leverage Gold",96.5,"Crown Him",0.23,"2.3",22,1,NA,NA,"Sunderland","A"
19,"Marc Guehi","DEF","Crystal Palace",8.5,3.75,-0.3,9.3,1.14933101664352,3.75,54.4,13.2,0,57.1,"Solid",72.9,"Leverage Gold",83.1,"Top Captain",0.44,"13.2",22,2.6,NA,NA,"Fulham","H"
19,"Antoine Semenyo","MID","Bournemouth",7.7,5.56818181818182,0,12.7,1.58562759993581,5.56818181818182,48.5,29.3,7.6,57.1,"Solid",68.1,"Sneaky Good",67.6,"Live Longshot",0.72,"34.9",22,1.4,NA,NA,"Chelsea","A"
19,"Sepp van den Berg","DEF","Brentford",7.6,1.73181818181818,0,6.3,1.31867992580768,1.73181818181818,53.5,2.3,0,57,"Solid",60.5,"Sneaky Good",55.9,"Live Longshot",0.23,"1.6",22,0,NA,NA,"Tottenham","H"
19,"Florian Wirtz","MID","Liverpool",12.5,2.99090909090909,0,7.3,1.451038301183,2.99090909090909,63.4,18.9,0.2,56.6,"Solid",61.9,"Sneaky Good",58.5,"Live Longshot",0.24,"13.6",22,3.4,NA,NA,"Leeds United","H"
19,"Caoimhin Kelleher","GK","Brentford",8.2,4.02272727272727,0,9.8,1.6118809881821,4.02272727272727,51.5,13.4,0,56.5,"Solid",73,"Leverage Gold",69.2,"Live Longshot",0.49,"15.8",22,7,NA,NA,"Tottenham","H"
19,"Malo Gusto","DEF","Chelsea",9.1,3.04545454545455,-0.3,12.3,1.18597152348975,3.04545454545455,59.2,2.9,0,56.5,"Solid",82.6,"Leverage Gold",84.9,"Top Captain",0.33,"0.9",22,1,NA,NA,"Bournemouth","H"
19,"Leny Yoro","DEF","Manchester United",10.8,1.17727272727273,-0.3,5,1.29896117011244,1.17727272727273,72.4,5.5,0,56.5,"Solid",50.2,"Meh",51.3,"Risky Captain",0.11,"0.7",22,1,NA,NA,"Wolverhampton","H"
19,"Harvey Barnes","MID","Newcastle United",11.5,2.97272727272727,0,12.7,1.44341992845163,2.97272727272727,60,5.1,0,56.4,"Solid",77.3,"Leverage Gold",96.1,"Crown Him",0.26,"1.4",22,3.1,NA,NA,"Burnley","A"
19,"Trevoh Chalobah","DEF","Chelsea",9.3,3.83636363636364,-0.3,8.3,1.08087186938198,3.83636363636364,59.2,14,0,56.3,"Solid",72.3,"Leverage Gold",83,"Top Captain",0.41,"13.7",22,1,NA,NA,"Bournemouth","H"
19,"Becker Alisson","GK","Liverpool",11,3.18636363636364,0,7,1.3691924282142,3.18636363636364,57.2,6.5,0,56.2,"Solid",68.2,"Sneaky Good",55.5,"Live Longshot",0.29,"7",22,7,NA,NA,"Leeds United","H"
19,"Matz Sels","GK","Nottingham Forest",9.2,2.89090909090909,0,7.5,1.52384827551513,2.89090909090909,56.6,6.7,0,56.2,"Solid",68.3,"Sneaky Good",57,"Live Longshot",0.31,"6.1",22,0,NA,NA,"Everton","H"
19,"Moises Caicedo","MID","Chelsea",12.7,2.88181818181818,0,8.3,1.27030462898538,2.88181818181818,66.8,9.3,0,56.1,"Solid",69.3,"Sneaky Good",92.1,"Crown Him",0.23,"2.7",22,2,NA,NA,"Bournemouth","H"
