,,,,Offense,,,,,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Emile Smith Rowe,FUL,CRY,M,95.0,0.17,0.24,2.35,0.65,2.14,38.66,46.95,4.17,1.29,0.67,1.09,1.51,0.43,1.53,0.95,0.08,0.88,0.23,1.45,0.00,1.06,1.15,0.21,0.00
Morgan Gibbs-White,NFO,EVE,F/M,95.0,0.17,0.21,1.96,0.69,1.56,30.60,38.15,2.24,0.54,0.94,1.09,1.36,0.41,1.34,0.70,0.29,0.76,0.38,0.96,0.00,1.44,1.27,0.23,0.01
Morgan Rogers,AVL,ARS,F/M,95.0,0.16,0.23,2.62,0.89,1.61,32.50,39.74,2.40,0.49,0.69,2.35,2.34,0.44,1.72,0.94,0.20,0.78,0.12,2.06,0.00,2.25,1.58,0.19,0.01
Curtis Jones,LIV,LEE,M,95.0,0.16,0.19,1.28,0.39,1.25,47.98,54.14,1.39,0.43,0.82,0.97,1.26,1.57,2.66,1.65,0.59,1.16,0.38,0.99,0.00,1.28,1.59,0.24,0.01
Manuel Ugarte,MUN,WOL,M,95.0,0.16,0.18,1.46,0.53,1.52,60.80,71.47,2.00,0.49,1.13,0.85,1.57,1.70,3.61,2.16,0.28,1.63,0.43,0.85,0.00,1.77,1.90,0.57,0.00
Casemiro,MUN,WOL,M/D,95.0,0.16,0.17,1.81,0.63,1.76,63.17,75.24,2.24,0.55,1.63,0.71,1.37,1.46,3.96,2.45,0.45,2.17,0.43,0.85,0.00,1.66,1.60,0.50,0.00
Nico Gonzalez,MCI,SUN,M,95.0,0.16,0.08,1.95,0.45,1.55,75.98,85.19,1.81,0.46,2.13,0.85,1.48,1.32,3.46,1.75,0.39,1.77,0.42,0.88,0.00,1.22,2.83,0.53,0.00
Hwang Hee-Chan,WOL,MUN,F,95.0,0.15,0.27,2.25,0.85,1.55,24.28,31.97,0.82,0.25,2.98,1.32,2.79,0.58,0.96,0.59,0.13,1.43,0.09,2.27,0.00,1.76,2.09,0.29,0.00
Carlos Alcaraz,EVE,NFO,F/M,95.0,0.15,0.19,2.52,0.91,1.92,28.96,35.57,2.31,0.80,1.02,0.98,1.73,0.44,1.44,0.95,0.16,1.28,0.24,1.43,0.00,1.38,1.35,0.32,0.00
Kevin,FUL,CRY,F/M,95.0,0.15,0.09,2.80,0.91,1.95,31.06,38.19,3.88,0.88,0.69,3.22,1.42,0.90,1.85,0.97,0.02,0.81,0.23,1.45,0.00,1.10,0.71,0.18,0.00
Youri Tielemans,AVL,ARS,M,95.0,0.14,0.28,2.35,0.83,2.18,49.56,59.82,4.18,0.88,1.00,2.19,2.57,0.66,2.61,1.73,0.28,1.77,0.12,2.06,0.00,1.99,2.44,0.28,0.00
Marcus Tavernier,BOU,CHE,F/M,95.0,0.14,0.19,2.07,0.67,1.46,23.13,28.65,3.34,0.73,0.66,0.94,1.51,0.31,1.56,0.93,0.16,0.63,0.10,2.23,0.00,1.21,1.45,0.25,0.00
Jhon Arias,WOL,MUN,F/M,95.0,0.14,0.16,1.64,0.71,1.30,19.03,24.71,3.21,0.88,0.34,1.31,2.47,0.45,1.58,1.10,0.02,0.52,0.09,2.27,0.00,0.86,0.71,0.18,0.00
Lewis Miley,NEW,BRN,M,95.0,0.14,0.09,0.82,0.30,0.81,43.85,50.44,0.81,0.22,0.95,0.72,1.02,0.87,2.58,1.66,0.43,1.35,0.40,0.92,0.00,1.16,1.26,0.11,0.00
Brenden Aaronson,LEE,LIV,F/M,95.0,0.14,0.08,2.14,0.94,1.54,20.95,26.06,2.00,0.56,0.46,1.23,1.78,0.23,0.88,0.51,0.02,0.34,0.12,2.07,0.00,1.10,0.67,0.08,0.00
Martin Odegaard,ARS,AVL,F/M,95.0,0.13,0.23,2.23,0.65,2.93,73.33,83.62,3.62,0.97,1.03,1.24,1.54,1.30,3.03,1.50,0.36,1.59,0.43,0.85,0.00,1.48,1.76,0.31,0.00
Jack Grealish,EVE,NFO,F/M,95.0,0.13,0.14,1.65,0.71,1.92,30.47,36.79,2.62,0.47,0.40,1.50,1.73,0.56,1.48,0.88,0.07,0.89,0.24,1.43,0.00,2.73,0.90,0.19,0.00
Joelinton,NEW,BRN,F/M,95.0,0.13,0.11,1.15,0.30,0.94,38.33,45.13,1.06,0.27,1.21,0.67,1.54,0.97,2.42,1.47,0.37,1.40,0.40,0.92,0.00,1.53,1.77,0.23,0.00
Enzo Fernandez,CHE,BOU,M,95.0,0.12,0.14,1.36,0.40,1.58,55.30,65.67,2.62,0.45,0.82,0.61,0.82,1.13,3.03,2.03,0.54,1.02,0.32,1.17,0.00,1.48,1.76,0.26,0.01
Conor Bradley,LIV,LEE,D,95.0,0.12,0.14,1.20,0.39,1.10,47.24,57.87,2.32,0.43,1.08,0.70,0.59,1.12,2.69,1.86,0.42,2.46,0.38,0.99,0.00,1.26,1.21,0.18,0.00
Omari Hutchinson,NFO,EVE,F/M,95.0,0.12,0.10,2.04,0.74,1.47,24.02,28.85,4.08,0.67,0.65,1.32,1.66,0.30,1.01,0.59,0.06,0.48,0.38,0.96,0.00,1.35,0.87,0.09,0.00
Jaidon Anthony,BRN,NEW,F/M,95.0,0.12,0.09,1.35,0.50,1.24,22.55,27.78,3.71,0.89,0.45,1.14,1.10,0.60,1.42,0.89,0.13,1.11,0.15,1.89,0.00,0.59,1.21,0.12,0.00
Michael Keane,EVE,NFO,D,95.0,0.12,0.01,0.68,0.27,0.23,51.18,58.88,0.13,0.02,2.90,0.09,0.20,1.39,1.31,0.90,0.97,6.65,0.24,1.43,0.00,0.37,0.87,0.24,0.01
Bruno Guimaraes,NEW,BRN,M,95.0,0.11,0.15,1.02,0.28,1.11,41.43,48.80,1.06,0.27,0.68,0.80,1.52,0.92,2.40,1.41,0.36,1.14,0.40,0.92,0.00,2.05,1.61,0.16,0.00
Martin Zubimendi,ARS,AVL,M,95.0,0.11,0.14,1.87,0.54,2.25,74.51,85.29,2.45,0.62,1.50,1.11,1.25,1.65,3.60,1.78,0.53,2.24,0.43,0.85,0.00,1.38,2.03,0.34,0.00
